0.0625 0.980405 0.991383 0.444458
0.125 2.63384 0.976266 1.73397
0.1875 2.49953 0.959613 2.17582
0.25 1.96906 0.941441 2.10156
0.3125 1.66328 0.921979 2.08186
0.375 1.45916 0.901473 2.08262
0.4375 1.31012 0.880149 2.09231
0.5 1.1942 0.858206 2.10552
0.5625 1.10004 0.835817 2.11994
0.625 1.02128 0.813131 2.13484
0.6875 0.954191 0.790277 2.15048
0.75 0.895628 0.767371 2.16564
0.8125 0.843531 0.744511 2.17959
0.875 0.796576 0.72178 2.19207
0.9375 0.754251 0.699251 2.20421
1 0.715866 0.676985 2.2162
1.0625 0.680711 0.655036 2.22765
1.125 0.647996 0.633448 2.23739
1.1875 0.617403 0.612258 2.2454
1.25 0.588828 0.591496 2.25223
1.3125 0.562339 0.571188 2.25907
1.375 0.537831 0.551353 2.26645
1.4375 0.514908 0.532007 2.27356
1.5 0.49353 0.513162 2.28093
1.5625 0.47378 0.494827 2.28969
1.625 0.455294 0.477007 2.29881
1.6875 0.437562 0.459705 2.3062
1.75 0.420825 0.442922 2.31346
1.8125 0.405193 0.426655 2.32168
1.875 0.390357 0.410902 2.32958
1.9375 0.376394 0.395657 2.33799
2 0.363149 0.380913 2.34635
2.0625 0.350471 0.366663 2.35399
2.125 0.338394 0.352898 2.36139
2.1875 0.326912 0.339609 2.36879
2.25 0.315826 0.326784 2.37497
2.3125 0.304939 0.314415 2.37857
2.375 0.294642 0.302489 2.38271
2.4375 0.285021 0.290995 2.38845
2.5 0.275796 0.279921 2.3938
2.5625 0.266493 0.269257 2.39469
2.625 0.25743 0.258991 2.39383
2.6875 0.249249 0.24911 2.39748
2.75 0.241886 0.239604 2.40567
2.8125 0.234644 0.230459 2.41192
2.875 0.227305 0.221666 2.4139
2.9375 0.220401 0.213213 2.41719
3 0.213919 0.205087 2.42199
3.0625 0.20777 0.197279 2.42756
3.125 0.202011 0.189777 2.43484
3.1875 0.196489 0.182571 2.44224
3.25 0.190951 0.175648 2.44668
3.3125 0.185408 0.169 2.44815
3.375 0.179854 0.162615 2.44649
3.4375 0.174676 0.156484 2.44695
3.5 0.170136 0.150596 2.45368
3.5625 0.165608 0.144943 2.45809
3.625 0.160689 0.139515 2.45392
3.6875 0.155991 0.134305 2.45018
3.75 0.151853 0.129303 2.45255
3.8125 0.148099 0.124501 2.45877
3.875 0.144234 0.119892 2.46079
3.9375 0.140273 0.115468 2.45868
4 0.136553 0.11122 2.45826
4.0625 0.133145 0.107143 2.4611
4.125 0.129735 0.103229 2.46163
4.1875 0.1262 0.0994703 2.45738
4.25 0.122824 0.095862 2.45374
4.3125 0.11974 0.0923979 2.45358
4.375 0.116884 0.0890718 2.45599
4.4375 0.114291 0.0858781 2.46198
4.5 0.111799 0.0828116 2.46833
4.5625 0.10913 0.0798667 2.46887
4.625 0.10634 0.0770386 2.46454
4.6875 0.103881 0.0743227 2.46581
4.75 0.101903 0.0717143 2.47682
4.8125 0.100063 0.0692086 2.48979
4.875 0.0981504 0.0668013 2.49958
4.9375 0.0959991 0.0644886 2.50168
5 0.0938527 0.0622666 2.50212
5.0625 0.091934 0.0601309 2.50691
5.125 0.0902154 0.0580777 2.51567
5.1875 0.0885859 0.0561038 2.52555
5.25 0.086879 0.0542062 2.53185
5.3125 0.0849675 0.052382 2.53057
5.375 0.0829139 0.0506278 2.52318
5.4375 0.0809322 0.0489403 2.51601
5.5 0.0790911 0.0473165 2.51133
5.5625 0.0774023 0.0457541 2.50977
5.625 0.0756621 0.0442503 2.50484
5.6875 0.0739639 0.0428019 2.49954
5.75 0.0721529 0.0414069 2.4886
5.8125 0.0704102 0.0400632 2.4781
5.875 0.0687428 0.0387689 2.4684
5.9375 0.0672496 0.0375221 2.46324
6 0.0660733 0.036321 2.46829
6.0625 0.0649648 0.0351637 2.47473
6.125 0.0638854 0.0340487 2.48118
6.1875 0.062965 0.0329747 2.49282
6.25 0.0621388 0.0319403 2.50739
6.3125 0.061363 0.0309436 2.52325
